nmun,idmun,ides,tmax,tmin
Abalá,1,31,34.435,20.325
Abasolo,1,19,27.82375,15.29875
Abejones,1,20,25.145,10.835
Acacoyagua,1,7,30.25,18.89
Acajete,1,21,20.7025,11.3625
Acala,2,7,26.33,16.47
Acambay de Ruíz Castañeda,1,15,23.275,9.25
Acanceh,2,31,34.795,20.225
Acapetahua,3,7,32.565,23.340000000000003
Acaponeta,1,18,30.025,15.66
Acapulco de Juárez,1,12,30.59,22.615000000000002
Acateno,2,21,22.314999999999998,16.009999999999998
Acatepec,76,12,26.585,16.585
Acatic,1,14,27.869999999999997,12.780000000000001
Acatlán,2,30,25.878333333333334,13.85
Acatlán de Juárez,2,14,28.745,12.405
Acatlán de Pérez Figueroa,2,20,30.645,21.884999999999998
Acatzingo,4,21,23.455,12.245000000000001
Acaxochitlán,2,13,22.875,10.665
Acayucan,3,30,29.055,21.380000000000003
Acolman,2,15,26.295,13.78
Aconchi,1,26,25.58,9.925
Acteopan,5,21,23.995,13.69
Actopan,4,30,25.755000000000003,14.73
Acuamanala de Miguel Hidalgo,22,29,24.235,12.365
Acuitzio,1,16,20.65,12.030000000000001
Acula,5,30,28.815,22.3
Aculco,3,15,24.195,10.235
Acultzingo,6,30,23.415,12.575
Acuña,2,5,24.270000000000003,11.58
Acámbaro,2,11,24.73,10.69
Agua Blanca de Iturbide,4,13,21.759999999999998,11.415
Agua Dulce,204,30,29.869999999999997,22.285
Agua Prieta,2,26,22.185,8.14
Agualeguas,2,19,26.87,17.244999999999997
Aguascalientes,1,1,28.285,9.57
Aguililla,2,16,30.66,18.6
Ahome,1,25,29.67,19.655
Ahuacatlán,6,21,25.009999999999998,13.0075
Ahuacuotzingo,2,12,28.314999999999998,15.92
Ahualulco,1,24,27.79,8.760000000000002
Ahualulco de Mercado,3,14,30.255,12.98
Ahuatlán,7,21,29.255000000000003,17.955
Ahuazotepec,8,21,22.44,10.370000000000001
Ahuehuetitla,9,21,31.619999999999997,18.200000000000003
Ahumada,1,8,20.924999999999997,7.720000000000001
Ajacuba,5,13,25.62,10.705
Ajalpan,10,21,26.060000000000002,14.085
Ajuchitlán del Progreso,3,12,26.65,18.325
Akil,3,31,33.995000000000005,19.810000000000002
Alamos,3,26,30.25,14.8
Alaquines,2,24,26.73,16.54
Albino Zertuche,11,21,31.72,17.5
Alcozauca de Guerrero,4,12,25.93,14.315000000000001
Aldama,113,7,24.753333333333334,14.17
Alfajayucan,6,13,27.384999999999998,11.510000000000002
Aljojuca,12,21,21.880000000000003,11.5
Allende,3,8,25.208333333333332,12.995
Almoloya,7,13,24.695,8.625
Almoloya de Alquisiras,4,15,17.0,10.345
Almoloya de Juárez,5,15,19.64,8.16
Almoloya del Río,6,15,19.515,9.92
Alpatláhuac,8,30,21.86,12.754999999999999
Alpoyeca,5,12,29.58,15.61
Altamira,3,28,27.384999999999998,20.32
Altamirano,4,7,26.42,15.594999999999999
Altar,4,26,26.520000000000003,12.754999999999999
Altepexi,13,21,28.36,14.870000000000001
Alto Lucero de Gutiérrez Barrios,9,30,27.455,18.54
Altotonga,10,30,20.055,11.515
Alvarado,11,30,27.605,22.990000000000002
Amacueca,4,14,24.15,10.985
Amacuzac,1,17,26.384999999999998,15.8
Amanalco,7,15,15.73,6.51
Amatenango de la Frontera,6,7,22.93,12.36
Amatenango del Valle,7,7,24.95,14.364999999999998
Amatepec,8,15,24.195,15.91
Amatitlán,12,30,28.67,21.92
Amatitán,5,14,30.63,12.780000000000001
Amatlán de Cañas,3,18,29.715,14.535
Amatlán de los Reyes,14,30,29.08,19.045
Amatán,5,7,26.93,17.755000000000003
Amaxac de Guerrero,1,29,24.67,10.765
Amealco de Bonfil,1,22,24.185000000000002,10.12
Ameca,6,14,29.155,12.91
Amecameca,9,15,17.985,9.405000000000001
Amixtlán,14,21,20.315,11.934999999999999
Amozoc,15,21,22.04,12.7
Angamacutiro,4,16,28.54,14.225
Angangueo,5,16,17.725,6.83
Angel Albino Corzo,8,7,24.765,14.760000000000002
Angel R. Cabada,15,30,26.86,21.689999999999998
Angostura,2,25,28.66,19.475
Antiguo Morelos,4,28,28.465,19.525
Anáhuac,5,19,27.795,14.940000000000001
Apan,8,13,24.625,8.535
Apaseo el Alto,4,11,27.225,11.774999999999999
Apaseo el Grande,5,11,27.725,12.215
Apatzingán,6,16,34.97,23.365000000000002
Apaxco,10,15,25.93,11.27
Apaxtla,6,12,28.215000000000003,17.950000000000003
Apazapan,17,30,28.47,18.369999999999997
Apetatitlán de Antonio Carvajal,2,29,25.549999999999997,11.42
Apizaco,5,29,24.75,9.975000000000001
Apodaca,6,19,26.73,15.695
Aporo,7,16,18.775,7.92
Apozol,1,32,29.55,11.645
Apulco,2,32,28.485,10.829999999999998
Aquila,18,30,25.6125,16.9075
Aquiles Serdán,4,8,21.950000000000003,13.33
Aquismón,3,24,26.17,15.875
Aquixtla,16,21,22.22,8.925
Aramberri,7,19,24.119999999999997,10.545
Arandas,8,14,27.44,12.030000000000001
Arcelia,7,12,27.97,18.759999999999998
Ario,9,16,24.990000000000002,17.34
Arivechi,5,26,25.57,6.895
Arizpe,6,26,23.884999999999998,8.475
Armadillo de los Infante,4,24,28.61,11.145
Armería,1,6,28.465,20.445
Arriaga,9,7,34.05,24.015
Arroyo Seco,3,22,25.085,13.205
Arteaga,4,5,26.377499999999998,15.252500000000001
Ascensión,5,8,21.45,10.215
Asientos,2,1,27.259999999999998,9.594999999999999
Astacinga,19,30,24.555,13.425
Asunción Cacalotepec,3,20,26.91,14.525
Asunción Cuyotepeji,4,20,27.485,12.43
Asunción Ixtaltepec,5,20,32.91,22.855
Asunción Nochixtlán,6,20,25.545,11.65
Asunción Ocotlán,7,20,29.555,16.265
Asunción Tlacolulita,8,20,31.185,18.89
Atarjea,6,11,23.125,10.02
Atemajac de Brizuela,10,14,24.825,11.614999999999998
Atempan,17,21,18.465,9.145
Atenango del Río,8,12,30.82,17.91
Atenco,11,15,24.67,15.135
Atengo,11,14,26.84,13.33
Atenguillo,12,14,25.86,13.120000000000001
Atexcal,18,21,27.805,13.93
Atil,7,26,26.825000000000003,12.93
Atitalaquia,10,13,26.78,11.09
Atizapán,12,15,19.740000000000002,9.594999999999999
Atizapán de Zaragoza,13,15,24.130000000000003,12.175
Atlacomulco,14,15,22.62,8.82
Atlahuilco,20,30,25.2,14.31
Atlamajalcingo del Monte,9,12,24.509999999999998,14.105
Atlangatepec,3,29,24.75,9.27
Atlapexco,11,13,24.86,18.64
Atlatlahucan,2,17,21.825,11.995000000000001
Atlautla,15,15,18.005000000000003,10.33
Atlequizayan,80,21,20.14,11.58
Atlixco,19,21,20.479999999999997,11.525
Atlixtac,10,12,25.485,14.675
Atltzayanca,4,29,24.674999999999997,9.645
Atolinga,3,32,26.189999999999998,9.995000000000001
Atotonilco de Tula,13,13,26.675,11.345
Atotonilco el Alto,13,14,29.299999999999997,12.9
Atotonilco el Grande,12,13,19.925,9.075
Atoyac,21,30,28.5175,16.25
Atoyac de Álvarez,11,12,29.925,22.965
Atoyatempan,20,21,26.05,14.735
Atzacan,22,30,25.0,14.899999999999999
Atzala,21,21,29.655,17.475
