,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
0,1,1,Aguascalientes,27.44,8.42,350
1,1,2,Asientos,26.39,8.87,272
2,1,3,Calvillo,27.49,7.81,540
3,1,4,Cosío,26.07,8.87,854
4,1,5,Jesús María,27.355,10.295,153
5,1,6,Pabellón de Arteaga,26.72,8.49,139
6,1,7,Rincón de Romos,25.59,8.21,342
7,1,8,San José de Gracia,23.52,6.71,930
8,1,9,Tepezalá,26.64,8.97,135
9,1,10,El Llano,26.39,8.65,305
10,1,11,San Francisco de los Romo,26.97,8.47,802
11,2,1,Ensenada,24.95,15.07,239
12,2,2,Mexicali,29.75,20.14,59
13,2,3,Tecate,23.87,11.35,275
14,2,4,Tijuana,25.56,14.74,271
15,2,5,Playas de Rosarito,23.34,16.57,48
16,3,1,Comondú,30.26,17.82,29
17,3,2,Mulegé,27.1,15.61,584
18,3,8,Los Cabos,26.35,16.3,615
19,3,9,Loreto,28.015,13.275,212
20,4,1,Calkiní,32.56,19.49,627
21,4,2,Campeche,33.61,19.19,448
22,4,3,Carmen,31.94,22.39,606
23,4,4,Champotón,33.74,20.01,773
24,4,5,Hecelchakán,33.36,19.04,887
25,4,6,Hopelchén,33.35,18.14,536
26,4,7,Palizada,32.05,22.35,811
27,4,8,Tenabo,33.43,19.24,238
28,4,9,Escárcega,34.56,21.21,79
29,4,10,Calakmul,32.28,18.73,937
30,4,11,Candelaria,35.5,23.14,559
31,5,2,Acuña,24.77,13.76,750
32,5,4,Arteaga,26.455,15.170000000000002,236
33,5,5,Candela,21.28,16.53,243
34,5,6,Castaños,21.89,13.94,378
35,5,7,Cuatro Ciénegas,24.54,10.55,815
36,5,8,Escobedo,23.26,16.21,767
37,5,9,Francisco I. Madero,24.43,9.795000000000002,47
38,5,10,Frontera,22.41,16.25,785
39,5,11,General Cepeda,23.44,9.64,229
40,5,16,Lamadrid,23.15,11.49,701
41,5,18,Monclova,23.05,16.05,901
42,5,20,Múzquiz,18.18,12.5,94
43,5,21,Nadadores,23.1,13.11,904
44,5,22,Nava,28.06,15.93,191
45,5,24,Parras,26.17,9.49,955
46,5,25,Piedras Negras,28.38,15.51,962
47,5,27,Ramos Arizpe,22.52,12.96,950
48,5,28,Sabinas,22.72,15.65,809
49,5,29,Sacramento,21.48,14.7,770
50,5,30,Saltillo,24.37,9.56,733
51,5,31,San Buenaventura,19.95,11.43,81
52,5,32,San Juan de Sabinas,22.63,14.73,284
53,5,33,San Pedro,25.83,10.39,507
54,5,34,Sierra Mojada,23.08,10.16,88
55,5,35,Torreón,25.41,12.68,97
56,5,36,Viesca,27.1,8.66,278
57,5,37,Villa Unión,25.19,16.49,207
58,6,1,Armería,28.97,20.36,592
59,6,2,Colima,28.5,17.43,705
60,6,3,Comala,26.13,15.52,48
61,6,4,Coquimatlán,28.19,17.88,708
62,6,6,Ixtlahuacán,29.32,18.27,216
63,6,7,Manzanillo,30.04,20.53,680
64,6,9,Tecomán,31.62,21.83,958
65,6,10,Villa de Álvarez,27.27,16.66,289
66,7,1,Acacoyagua,29.99,18.5,993
67,7,2,Acala,26.68,16.66,983
68,7,3,Acapetahua,32.65,23.17,959
69,7,4,Altamirano,25.37,14.49,334
70,7,5,Amatán,27.26,16.82,628
71,7,6,Amatenango de la Frontera,23.39,13.37,223
72,7,7,Amatenango del Valle,25.33,13.89,359
73,7,8,Angel Albino Corzo,24.92,14.55,218
74,7,9,Arriaga,32.88,24.9,358
75,7,10,Bejucal de Ocampo,22.93,12.38,97
76,7,11,Bella Vista,25.36,14.27,37
77,7,12,Berriozábal,25.65,17.54,924
78,7,13,Bochil,23.96,13.92,805
79,7,14,El Bosque,24.07,12.91,363
80,7,15,Cacahoatán,27.41,16.41,730
81,7,16,Catazajá,30.59,22.3,221
82,7,17,Cintalapa,30.33,21.57,309
83,7,18,Coapilla,26.87,16.41,445
84,7,19,Comitán de Domínguez,27.63,16.4,61
85,7,20,La Concordia,26.77,16.48,559
86,7,21,Copainalá,24.5,16.44,847
87,7,22,Chalchihuitán,26.22,12.73,221
88,7,23,Chamula,21.11,10.6,689
89,7,24,Chanal,21.59,10.04,319
90,7,25,Chapultenango,24.94,16.28,701
91,7,26,Chenalhó,25.73,12.23,464
92,7,27,Chiapa de Corzo,26.98,17.01,534
93,7,28,Chiapilla,29.63,19.32,223
94,7,29,Chicoasén,24.64,15.49,391
95,7,30,Chicomuselo,27.18,16.57,319
96,7,31,Chilón,27.94,16.54,115
97,7,32,Escuintla,29.78,18.58,394
98,7,33,Francisco León,26.93,18.66,718
99,7,34,Frontera Comalapa,26.87,17.35,918
100,7,35,Frontera Hidalgo,32.44,22.11,790
101,7,36,La Grandeza,23.88,12.79,665
102,7,37,Huehuetán,31.87,22.17,690
103,7,38,Huixtán,24.02,11.69,326
104,7,39,Huitiupán,28.04,14.76,457
105,7,40,Huixtla,32.09,22.64,830
106,7,41,La Independencia,24.62,14.9,484
107,7,42,Ixhuatán,26.36,14.86,301
108,7,43,Ixtacomitán,27.55,18.43,901
109,7,44,Ixtapa,23.18,13.76,634
110,7,45,Ixtapangajoya,28.23,19.25,234
111,7,46,Jiquipilas,30.81,21.75,227
112,7,47,Jitotol,25.44,12.85,622
113,7,48,Juárez,24.3,15.772,663
114,7,49,Larráinzar,24.51,12.05,668
115,7,50,La Libertad,30.38,22.21,490
116,7,51,Mapastepec,29.19,19.27,118
