cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
71.68,Cielo nublado,6,Noreste,46.84,20221029T12,20,54,17.3884,-97.229,0,Oaxaca,Magdalena Zahuatlán,0.25,95.0,12.77,22.94,11.04,8.08
45.57,Medio nublado,6,Noreste,60.87,20221030T12,20,54,17.3884,-97.229,1,Oaxaca,Magdalena Zahuatlán,0.15,0.0,14.07,25.8,11.06,6.24
19.9,Poco nuboso,6,Este,78.79,20221031T12,20,54,17.3884,-97.229,2,Oaxaca,Magdalena Zahuatlán,0.24,80.0,10.22,26.26,11.38,4.05
27.88,Medio nublado,6,Noreste,44.4,20221101T12,20,54,17.3884,-97.229,3,Oaxaca,Magdalena Zahuatlán,0.02,0.0,13.67,26.21,10.09,7.23
28.65,Medio nublado,6,Noreste,39.21,20221029T12,20,61,16.3672,-96.6368,0,Oaxaca,Monjas,1.02,20.0,16.16,27.77,13.24,7.78
26.73,Medio nublado,6,Este,106.66,20221030T12,20,61,16.3672,-96.6368,1,Oaxaca,Monjas,0.4,20.0,10.93,27.26,12.52,5.16
26.74,Medio nublado,6,Sureste,146.07,20221031T12,20,61,16.3672,-96.6368,2,Oaxaca,Monjas,1.48,95.0,8.29,27.21,12.79,4.22
24.24,Poco nuboso,6,Sureste,119.28,20221101T12,20,61,16.3672,-96.6368,3,Oaxaca,Monjas,0.82,95.0,10.09,27.96,13.3,5.6
77.66,Cielo nublado,6,Este,69.49,20221029T12,20,62,17.2969,-96.4333,0,Oaxaca,Natividad,3.41,95.0,11.42,21.42,10.17,5.55
43.63,Medio nublado,6,Este,107.07,20221030T12,20,62,17.2969,-96.4333,1,Oaxaca,Natividad,0.15,95.0,9.12,24.5,10.06,4.68
50.58,Cielo nublado,6,Este,88.88,20221031T12,20,62,17.2969,-96.4333,2,Oaxaca,Natividad,1.94,95.0,7.67,25.25,11.1,3.68
34.91,Medio nublado,6,Este,74.81,20221101T12,20,62,17.2969,-96.4333,3,Oaxaca,Natividad,0.45,95.0,8.43,25.68,10.42,5.51
52.98,Cielo nublado,6,Sureste,140.58,20221029T12,20,63,17.178,-96.824,0,Oaxaca,Nazareno Etla,0.82,95.0,12.44,23.69,11.91,6.86
46.01,Medio nublado,6,Sureste,145.02,20221030T12,20,63,17.178,-96.824,1,Oaxaca,Nazareno Etla,0.25,0.0,9.24,27.05,11.1,4.6
36.7,Medio nublado,6,Sureste,148.12,20221031T12,20,63,17.178,-96.824,2,Oaxaca,Nazareno Etla,0.63,80.0,8.7,27.07,12.05,3.96
25.53,Medio nublado,6,Sureste,136.31,20221101T12,20,63,17.178,-96.824,3,Oaxaca,Nazareno Etla,0.29,80.0,9.89,27.63,10.66,6.22
52.98,Cielo nublado,6,Sureste,140.58,20221029T12,20,77,17.2056,-96.8101,0,Oaxaca,Reyes Etla,0.82,95.0,12.44,23.69,11.91,6.86
46.01,Medio nublado,6,Sureste,145.02,20221030T12,20,77,17.2056,-96.8101,1,Oaxaca,Reyes Etla,0.25,0.0,9.24,27.05,11.1,4.6
36.7,Medio nublado,6,Sureste,148.12,20221031T12,20,77,17.2056,-96.8101,2,Oaxaca,Reyes Etla,0.63,80.0,8.7,27.07,12.05,3.96
25.53,Medio nublado,6,Sureste,136.31,20221101T12,20,77,17.2056,-96.8101,3,Oaxaca,Reyes Etla,0.29,80.0,9.89,27.63,10.66,6.22
50.28,Cielo nublado,6,Sureste,128.88,20221029T12,20,87,17.0812,-96.6681,0,Oaxaca,San Agustín Yatareni,1.4,95.0,10.35,24.62,11.71,6.1
42.03,Medio nublado,6,Sureste,126.6,20221030T12,20,87,17.0812,-96.6681,1,Oaxaca,San Agustín Yatareni,0.15,80.0,10.96,26.35,11.23,5.92
41.26,Medio nublado,6,Sureste,148.14,20221031T12,20,87,17.0812,-96.6681,2,Oaxaca,San Agustín Yatareni,0.98,80.0,10.68,26.59,12.55,5.04
22.52,Poco nuboso,6,Sureste,118.6,20221101T12,20,87,17.0812,-96.6681,3,Oaxaca,San Agustín Yatareni,0.19,80.0,11.75,27.33,10.66,6.8
50.28,Cielo nublado,6,Sureste,128.88,20221029T12,20,91,17.1025,-96.6662,0,Oaxaca,San Andrés Huayápam,1.4,95.0,10.35,24.62,11.71,6.1
42.03,Medio nublado,6,Sureste,126.6,20221030T12,20,91,17.1025,-96.6662,1,Oaxaca,San Andrés Huayápam,0.15,80.0,10.96,26.35,11.23,5.92
41.26,Medio nublado,6,Sureste,148.14,20221031T12,20,91,17.1025,-96.6662,2,Oaxaca,San Andrés Huayápam,0.98,80.0,10.68,26.59,12.55,5.04
22.52,Poco nuboso,6,Sureste,118.6,20221101T12,20,91,17.1025,-96.6662,3,Oaxaca,San Andrés Huayápam,0.19,80.0,11.75,27.33,10.66,6.8
27.83,Medio nublado,6,Sureste,157.25,20221029T12,20,99,17.6658,-98.3917,0,Oaxaca,San Andrés Tepetlapa,0.35,20.0,9.11,29.87,15.22,5.06
49.03,Medio nublado,6,Sur,179.71,20221030T12,20,99,17.6658,-98.3917,1,Oaxaca,San Andrés Tepetlapa,1.77,95.0,11.54,29.66,15.39,5.86
27.95,Medio nublado,6,Suroeste,214.07,20221031T12,20,99,17.6658,-98.3917,2,Oaxaca,San Andrés Tepetlapa,1.0,95.0,12.43,29.12,16.29,5.63
25.82,Medio nublado,6,Suroeste,206.18,20221101T12,20,99,17.6658,-98.3917,3,Oaxaca,San Andrés Tepetlapa,0.42,80.0,9.47,29.24,14.69,4.96
44.6,Medio nublado,6,Sureste,137.51,20221029T12,20,103,16.8032,-96.6846,0,Oaxaca,San Antonino Castillo Velasco,0.71,95.0,9.67,26.76,13.33,5.97
38.82,Medio nublado,6,Sureste,146.37,20221030T12,20,103,16.8032,-96.6846,1,Oaxaca,San Antonino Castillo Velasco,0.01,0.0,15.28,28.02,13.05,5.46
28.57,Medio nublado,6,Sureste,155.08,20221031T12,20,103,16.8032,-96.6846,2,Oaxaca,San Antonino Castillo Velasco,0.32,80.0,13.44,28.62,13.67,4.83
25.3,Medio nublado,6,Este,87.68,20221101T12,20,103,16.8032,-96.6846,3,Oaxaca,San Antonino Castillo Velasco,0.25,0.0,16.52,29.16,12.9,5.8
48.23,Medio nublado,6,Sur,188.23,20221029T12,20,107,17.0313,-96.6993,0,Oaxaca,San Antonio de la Cal,1.28,95.0,10.72,25.75,12.33,6.0
40.04,Medio nublado,6,Sureste,150.8,20221030T12,20,107,17.0313,-96.6993,1,Oaxaca,San Antonio de la Cal,0.11,20.0,12.0,26.75,11.72,5.93
37.46,Medio nublado,6,Sur,162.64,20221031T12,20,107,17.0313,-96.6993,2,Oaxaca,San Antonio de la Cal,0.63,20.0,11.89,27.1,12.85,5.09
24.46,Poco nuboso,6,Sureste,140.48,20221101T12,20,107,17.0313,-96.6993,3,Oaxaca,San Antonio de la Cal,0.23,20.0,11.79,27.74,11.26,6.52
41.46,Medio nublado,6,Noreste,64.55,20221029T12,20,127,17.2845,-97.5699,0,Oaxaca,San Cristóbal Amoltepec,0.94,95.0,11.26,24.17,10.52,6.26
39.13,Medio nublado,6,Sureste,129.39,20221030T12,20,127,17.2845,-97.5699,1,Oaxaca,San Cristóbal Amoltepec,0.8,0.0,12.43,25.73,9.89,4.81
6.8,Despejado,6,Sureste,119.73,20221031T12,20,127,17.2845,-97.5699,2,Oaxaca,San Cristóbal Amoltepec,0.69,95.0,14.37,25.2,10.71,4.37
6.0,Despejado,6,Este,84.12,20221101T12,20,127,17.2845,-97.5699,3,Oaxaca,San Cristóbal Amoltepec,0.27,95.0,12.87,25.7,9.12,5.63
83.31,Cielo cubierto,6,Sureste,137.18,20221029T12,20,128,17.336,-96.165,0,Oaxaca,San Cristóbal Lachirioag,8.29,95.0,9.84,21.64,13.94,4.27
53.16,Cielo nublado,6,Sureste,131.05,20221030T12,20,128,17.336,-96.165,1,Oaxaca,San Cristóbal Lachirioag,0.59,95.0,9.19,25.71,13.55,3.97
51.56,Cielo nublado,6,Sureste,124.17,20221031T12,20,128,17.336,-96.165,2,Oaxaca,San Cristóbal Lachirioag,0.82,95.0,9.16,24.98,13.47,3.39
50.7,Cielo nublado,6,Sureste,147.82,20221101T12,20,128,17.336,-96.165,3,Oaxaca,San Cristóbal Lachirioag,1.52,95.0,9.36,26.85,15.01,4.16
43.95,Medio nublado,6,Este,112.49,20221029T12,20,145,17.0114,-96.5985,0,Oaxaca,San Francisco Lachigoló,1.1,95.0,9.46,25.29,12.14,5.79
41.35,Medio nublado,6,Sureste,114.25,20221030T12,20,145,17.0114,-96.5985,1,Oaxaca,San Francisco Lachigoló,0.08,95.0,12.79,26.59,11.82,6.59
41.41,Medio nublado,6,Sureste,153.74,20221031T12,20,145,17.0114,-96.5985,2,Oaxaca,San Francisco Lachigoló,0.81,95.0,13.36,26.94,13.08,5.66
18.02,Poco nuboso,6,Este,111.02,20221101T12,20,145,17.0114,-96.5985,3,Oaxaca,San Francisco Lachigoló,0.18,95.0,14.3,27.67,11.28,7.21
20.26,Poco nuboso,6,Este,89.69,20221029T12,20,146,16.3523,-96.378,0,Oaxaca,San Francisco Logueche,0.71,0.0,15.95,25.52,11.77,7.37
17.6,Poco nuboso,6,Sureste,123.47,20221030T12,20,146,16.3523,-96.378,1,Oaxaca,San Francisco Logueche,0.36,0.0,11.14,25.17,11.16,5.12
23.02,Poco nuboso,6,Sureste,141.51,20221031T12,20,146,16.3523,-96.378,2,Oaxaca,San Francisco Logueche,1.22,95.0,7.82,25.36,11.32,3.8
23.44,Poco nuboso,6,Sureste,112.79,20221101T12,20,146,16.3523,-96.378,3,Oaxaca,San Francisco Logueche,0.57,95.0,9.21,25.84,11.78,5.23
50.77,Cielo nublado,6,Sur,198.51,20221029T12,20,157,17.1008,-96.7626,0,Oaxaca,San Jacinto Amilpas,1.08,95.0,11.43,25.22,12.31,6.28
41.13,Medio nublado,6,Sur,162.84,20221030T12,20,157,17.1008,-96.7626,1,Oaxaca,San Jacinto Amilpas,0.15,0.0,10.67,26.92,11.53,5.34
35.58,Medio nublado,6,Sur,161.64,20221031T12,20,157,17.1008,-96.7626,2,Oaxaca,San Jacinto Amilpas,0.28,0.0,10.62,27.11,12.51,4.63
26.46,Medio nublado,6,Sureste,146.99,20221101T12,20,157,17.1008,-96.7626,3,Oaxaca,San Jacinto Amilpas,0.13,0.0,10.39,27.82,11.1,6.19
47.21,Medio nublado,6,Sur,184.47,20221029T12,20,174,16.9889,-96.7132,0,Oaxaca,Ánimas Trujano,1.16,95.0,10.06,26.01,12.47,5.96
39.56,Medio nublado,6,Sureste,151.19,20221030T12,20,174,16.9889,-96.7132,1,Oaxaca,Ánimas Trujano,0.04,20.0,12.09,26.98,12.02,5.93
35.83,Medio nublado,6,Sur,162.83,20221031T12,20,174,16.9889,-96.7132,2,Oaxaca,Ánimas Trujano,0.25,20.0,12.08,27.34,13.07,5.09
24.59,Poco nuboso,6,Sureste,133.28,20221101T12,20,174,16.9889,-96.7132,3,Oaxaca,Ánimas Trujano,0.16,20.0,12.69,28.05,11.53,6.42
43.46,Medio nublado,6,Sureste,140.54,20221029T12,20,192,16.8285,-96.672,0,Oaxaca,San Juan Chilateca,0.84,95.0,9.19,26.14,13.0,5.85
38.52,Medio nublado,6,Sureste,142.85,20221030T12,20,192,16.8285,-96.672,1,Oaxaca,San Juan Chilateca,0.0,0.0,14.42,27.7,12.82,5.91
31.52,Medio nublado,6,Sureste,154.93,20221031T12,20,192,16.8285,-96.672,2,Oaxaca,San Juan Chilateca,0.31,20.0,13.91,28.13,13.55,5.2
21.64,Poco nuboso,6,Este,96.06,20221101T12,20,192,16.8285,-96.672,3,Oaxaca,San Juan Chilateca,0.12,0.0,15.84,28.79,12.65,6.22
84.11,Cielo cubierto,6,Norte,11.81,20221029T12,20,216,17.305,-96.207,0,Oaxaca,San Juan Tabaá,7.36,95.0,10.86,21.3,12.65,4.42
50.1,Cielo nublado,6,Sureste,129.56,20221030T12,20,216,17.305,-96.207,1,Oaxaca,San Juan Tabaá,0.76,95.0,9.2,25.06,12.49,4.19
53.45,Cielo nublado,6,Este,109.03,20221031T12,20,216,17.305,-96.207,2,Oaxaca,San Juan Tabaá,1.05,95.0,9.75,24.63,12.5,3.25
50.72,Cielo nublado,6,Noreste,45.78,20221101T12,20,216,17.305,-96.207,3,Oaxaca,San Juan Tabaá,1.36,95.0,9.33,26.35,13.8,4.3
75.66,Cielo nublado,6,Este,96.55,20221029T12,20,228,18.2065,-96.9131,0,Oaxaca,San Lorenzo Cuaunecuiltitla,5.6,95.0,10.22,22.87,16.26,4.19
51.88,Cielo nublado,6,Sureste,115.0,20221030T12,20,228,18.2065,-96.9131,1,Oaxaca,San Lorenzo Cuaunecuiltitla,0.37,60.0,9.36,27.48,15.12,4.67
32.68,Medio nublado,6,Sureste,131.26,20221031T12,20,228,18.2065,-96.9131,2,Oaxaca,San Lorenzo Cuaunecuiltitla,0.28,95.0,8.94,27.37,14.71,4.6
21.42,Poco nuboso,6,Sureste,120.36,20221101T12,20,228,18.2065,-96.9131,3,Oaxaca,San Lorenzo Cuaunecuiltitla,0.6,80.0,9.22,28.18,15.77,4.66
43.67,Medio nublado,6,Este,85.44,20221029T12,20,238,16.6565,-96.729,0,Oaxaca,San Martín de los Cansecos,0.53,20.0,11.11,27.34,13.78,6.57
37.08,Medio nublado,6,Este,109.91,20221030T12,20,238,16.6565,-96.729,1,Oaxaca,San Martín de los Cansecos,0.07,0.0,15.33,28.17,13.16,5.16
19.39,Poco nuboso,6,Sureste,134.86,20221031T12,20,238,16.6565,-96.729,2,Oaxaca,San Martín de los Cansecos,0.32,95.0,11.86,28.85,13.66,4.33
19.91,Poco nuboso,6,Este,88.45,20221101T12,20,238,16.6565,-96.729,3,Oaxaca,San Martín de los Cansecos,0.45,80.0,14.99,29.32,14.44,5.43
45.18,Medio nublado,6,Este,70.7,20221029T12,20,241,16.6109,-96.8494,0,Oaxaca,San Martín Lachilá,0.64,0.0,9.78,27.21,13.51,6.1
38.14,Medio nublado,6,Este,101.66,20221030T12,20,241,16.6109,-96.8494,1,Oaxaca,San Martín Lachilá,0.48,0.0,13.41,27.86,12.83,4.9
21.7,Poco nuboso,6,Sureste,131.29,20221031T12,20,241,16.6109,-96.8494,2,Oaxaca,San Martín Lachilá,0.45,95.0,10.48,28.21,13.35,4.16
20.93,Poco nuboso,6,Este,98.45,20221101T12,20,241,16.6109,-96.8494,3,Oaxaca,San Martín Lachilá,0.84,95.0,12.28,28.6,14.35,5.2
83.03,Cielo cubierto,6,Este,93.39,20221029T12,20,249,18.1437,-96.8684,0,Oaxaca,San Mateo Yoloxochitlán,6.44,95.0,10.22,22.35,16.46,4.13
55.49,Cielo nublado,6,Sureste,131.24,20221030T12,20,249,18.1437,-96.8684,1,Oaxaca,San Mateo Yoloxochitlán,0.62,20.0,9.48,27.35,15.18,4.52
39.82,Medio nublado,6,Sureste,127.02,20221031T12,20,249,18.1437,-96.8684,2,Oaxaca,San Mateo Yoloxochitlán,0.39,95.0,8.74,27.22,14.94,4.42
28.39,Medio nublado,6,Sureste,112.73,20221101T12,20,249,18.1437,-96.8684,3,Oaxaca,San Mateo Yoloxochitlán,0.54,95.0,8.74,28.14,16.41,4.11
71.68,Cielo nublado,6,Noreste,46.84,20221029T12,20,250,17.4148,-97.2717,0,Oaxaca,San Mateo Etlatongo,0.25,95.0,12.77,22.94,11.04,8.08
45.57,Medio nublado,6,Noreste,60.87,20221030T12,20,250,17.4148,-97.2717,1,Oaxaca,San Mateo Etlatongo,0.15,0.0,14.07,25.8,11.06,6.24
19.9,Poco nuboso,6,Este,78.79,20221031T12,20,250,17.4148,-97.2717,2,Oaxaca,San Mateo Etlatongo,0.24,80.0,10.22,26.26,11.38,4.05
27.88,Medio nublado,6,Noreste,44.4,20221101T12,20,250,17.4148,-97.2717,3,Oaxaca,San Mateo Etlatongo,0.02,0.0,13.67,26.21,10.09,7.23
71.89,Cielo nublado,6,Noreste,45.32,20221029T12,20,267,17.3217,-96.5692,0,Oaxaca,San Miguel del Río,1.81,95.0,12.25,21.57,9.56,6.14
41.68,Medio nublado,6,Este,103.7,20221030T12,20,267,17.3217,-96.5692,1,Oaxaca,San Miguel del Río,0.11,95.0,8.85,24.64,9.36,4.69
